run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1766749528,sample_16326.yaml,11700.625,6,856,8284,0.0003,0.01,0.3,0.99,9,2,308,0.999,0.5,108,2044,5,50000,16.65151515151517,69.9,158.15148555871212,161.33203125,265.1590909090911,301.4,541.113340435606,555.0390625,65.66615319252014
run_1766749588,sample_16327.yaml,11700.625,6,768,12919,0.0003,0.01,0.3,0.99,9,4,66,0.999,0.5,68,3984,5,50000,18.9818181818182,47.9,155.57436079545454,164.87890625,256.1200000000002,301.4,524.2949573863636,546.76953125,54.632761001586914
run_1766749646,sample_16328.yaml,11700.625,6,441,14558,0.0003,0.01,0.3,0.99,3,3,509,0.999,0.5,93,3773,5,50000,20.16915887850469,47.9,157.07761390186917,165.4375,276.5962616822431,301.4,558.5730140186915,584.96484375,53.12536001205444
run_1766749750,sample_16329.yaml,11700.625,6,190,8438,0.0003,0.01,0.3,0.99,8,4,496,0.999,0.5,122,517,5,50000,10.61060606060607,41.9,157.04103535353536,159.140625,279.4924242424247,301.4,631.7437657828283,647.46484375,98.72235631942749
run_1766749812,sample_16330.yaml,11700.625,6,194,15774,0.0003,0.01,0.3,0.99,5,2,151,0.999,0.5,34,1952,5,50000,17.98017241379312,47.9,159.78801858836206,165.8203125,263.65603448275857,303.3,527.564419450431,551.234375,57.64189791679382
run_1766749920,sample_16331.yaml,11700.625,6,657,9467,0.0003,0.01,0.3,0.99,9,4,490,0.999,0.5,37,3974,5,50000,10.62961165048545,43.9,157.6830817657767,164.66796875,278.65728155339855,303.0,639.9912962682039,675.6171875,102.75661897659302
run_1766749978,sample_16332.yaml,11700.625,6,458,8615,0.0003,0.01,0.3,0.99,6,3,110,0.999,0.5,52,4726,5,50000,19.162264150943415,41.9,155.5097287735849,165.92578125,268.156603773585,303.3,515.5985406839623,536.48046875,52.63744378089905
run_1766750043,sample_16333.yaml,11700.625,6,889,2605,0.0003,0.01,0.3,0.99,10,2,165,0.999,0.5,127,1215,5,50000,17.466393442622966,49.8,155.91585553278688,165.19921875,291.70573770491825,303.0,510.37730532786884,524.84375,60.64233160018921
run_1766750097,sample_16334.yaml,11700.625,6,937,10256,0.0003,0.01,0.3,0.99,5,2,408,0.999,0.5,52,2353,5,50000,19.942000000000018,49.9,157.2160546875,161.01171875,268.06499999999994,303.4,579.4600390625,614.4609375,49.62094736099243
run_1766750160,sample_16335.yaml,11700.625,6,768,1983,0.0003,0.01,0.3,0.99,9,2,132,0.999,0.5,124,4094,5,50000,18.53189655172416,49.7,155.51491783405172,158.89453125,290.7706896551726,303.4,508.41655441810343,518.45703125,57.65172028541565
