runNr,nrSteps,timeUnit,meanReward
18,600000,10,3.971765279769897
18,660000,11,3.322556018829346
18,720000,12,4.08686351776123
18,780000,13,4.591855525970459
19,60000,1,-0.5067470669746399
19,120000,2,0.5812999606132507
19,180000,3,2.842259407043457
19,240000,4,4.270381927490234
19,300000,5,4.594219207763672
20,60000,1,0.4238325357437134
20,120000,2,2.504168510437012
20,180000,3,4.061016082763672
20,240000,4,3.886039972305298
20,300000,5,4.433953762054443
21,60000,1,2.883604288101196
21,120000,2,4.206659317016602
21,180000,3,4.328365802764893
22,60000,1,-0.2705351710319519
22,120000,2,-0.2892114818096161
22,180000,3,0.4657417237758636
22,240000,4,0.1963886916637421
22,300000,5,2.447676420211792
22,360000,6,3.09360408782959
22,420000,7,3.598401069641113
22,480000,8,3.675372362136841
22,540000,9,3.344007730484009
22,600000,10,3.474683046340942
22,660000,11,3.559216499328613
22,720000,12,4.016495704650879
22,780000,13,4.113997936248779
22,840000,14,4.00764799118042
22,900000,15,3.64392352104187
22,960000,16,3.724570274353027
22,1020000,17,3.886817216873169
22,1080000,18,3.929650545120239
22,1140000,19,3.864343643188477
22,1200000,20,4.204589366912842
22,1260000,21,4.220731258392334
22,1320000,22,4.293337821960449
22,1380000,23,4.472393035888672
23,60000,1,-0.6874412298202515
23,120000,2,2.111640930175781
23,180000,3,4.271904468536377
23,240000,4,4.758305072784424
24,60000,1,2.958876609802246
24,120000,2,4.656693935394287
25,60000,1,0.09088997542858124
25,120000,2,2.030759572982788
25,180000,3,3.60517144203186
25,240000,4,3.590837478637695
25,300000,5,3.970885276794434
25,360000,6,3.934735536575317
25,420000,7,4.111368179321289
25,480000,8,4.660266876220703
26,60000,1,0.7341403961181641
26,120000,2,1.687195897102356
26,180000,3,3.03093433380127
26,240000,4,3.549418926239014
26,300000,5,4.135690212249756
26,360000,6,4.31382942199707
27,60000,1,-1.0
27,120000,2,0.08208970725536346
27,180000,3,0.4035999476909637
27,240000,4,1.628986358642578
27,300000,5,2.640369415283203
27,360000,6,3.24726414680481
27,420000,7,4.142251491546631
27,480000,8,3.816199064254761
27,540000,9,3.631792306900024
27,600000,10,3.830360174179077
27,660000,11,4.183179378509521
27,720000,12,3.849854707717896
27,780000,13,3.579318046569824
27,840000,14,4.295315742492676
27,900000,15,4.408274173736572
28,60000,1,0.1348949670791626
28,120000,2,2.141372919082642
28,180000,3,2.603867292404175
28,240000,4,2.870426893234253
28,300000,5,3.685211658477783
28,360000,6,3.815320730209351
28,420000,7,4.292101383209229
28,480000,8,4.561269283294678
29,60000,1,0.4143115878105164
29,120000,2,3.553170680999756
29,180000,3,4.666573047637939
30,60000,1,-0.1233631893992424
30,120000,2,0.9647886157035828
30,180000,3,0.867838442325592
30,240000,4,0.8743213415145874
30,300000,5,1.187549352645874
30,360000,6,1.520231604576111
30,420000,7,2.699892044067383
30,480000,8,2.88468599319458
30,540000,9,3.174242973327637
30,600000,10,3.638739824295044
